team,opponent,location,opponent_trend_predict,location_trend_predict,current_trend_predict,runs_scored
India,West Indies,Ahmedabad,198.20000000000002,255.00000000000003,229.73684210526315,223
South Africa,Pakistan,Mohali,224.6,247.24140119521533,244.03157894736842,213
West Indies,England,Ahmedabad,201.8,243.81718240880033,203.6578947368421,272
India,Australia,Mohali,194.79999999999998,252.35807392258437,231.13684210526318,249
Australia,New Zealand,Mohali,335.90000000000003,286.3674096867177,280.96315789473687,240
South Africa,West Indies,Jaipur,286.5,219.12029506336293,231.91578947368419,258
West Indies,Australia,Mumbai (BS),258.9,387.9999999999999,209.9157894736842,138
South Africa,India,Durban,172.9,246.8,241.92631578947368,248
South Africa,India,Cape Town,186.49999999999997,257.6,245.4578947368421,274
South Africa,India,Port Elizabeth,257.7,250.29999999999998,254.96315789473684,243
India,South Africa,Centurion,182.79999999999998,17.00000000000007,231.54736842105262,200
West Indies,Pakistan,Faisalabad,395.1,237.58054134306835,199.7,151
West Indies,Pakistan,Lahore,242.90000000000003,226.33333333333334,178.16315789473683,207
Pakistan,West Indies,Multan,326.70000000000005,-0.9999999999999147,256.12631578947367,209
West Indies,Pakistan,Karachi,177.6,268.975625,171.45263157894738,238
New Zealand,Sri Lanka,Napier,174.10000000000002,330.5,246.66315789473686,285
Sri Lanka,New Zealand,Queenstown,255.8,194.81013480982188,275.14736842105265,224
Sri Lanka,New Zealand,Christchurch,293.9,280.4782616219424,258.7894736842105,112
Sri Lanka,New Zealand,Auckland,165.10000000000002,217.11005176674317,229.62105263157895,262
Australia,New Zealand,Hobart,257.9,332.0,269.76842105263154,289
New Zealand,England,Hobart,225.70000000000002,244.59482025687925,257.3315789473684,205
New Zealand,Australia,Sydney,229.29999999999998,115.00000000000001,244.44736842105263,218
India,West Indies,Nagpur,201.5,368.3333333333333,217.06315789473686,338
New Zealand,England,Adelaide,215.1,260.0,242.42631578947368,210
England,Australia,Adelaide,166.8,94.3333333333334,193.82105263157894,110
India,West Indies,Chennai,224.99999999999997,289.5751816523085,220.12631578947367,268
Australia,New Zealand,Perth,284.4,327.7,270.1842105263158,343
New Zealand,England,Perth,235.29999999999998,261.4323796333829,231.68947368421053,318
India,West Indies,Vadodara,289.4,288.81162022684833,226.8315789473684,341
England,Australia,Sydney,105.79999999999997,101.50000000000003,165.31578947368422,292
New Zealand,Australia,Melbourne,265.9,242.0,245.3736842105263,290
South Africa,Pakistan,Centurion,233.70000000000002,324.7,249.57894736842107,392
England,New Zealand,Brisbane,166.79999999999998,185.33333333333331,180.68947368421053,270
Pakistan,South Africa,Durban,143.2,248.5434703849485,236.0421052631579,351
Australia,England,Melbourne,241.10000000000002,247.59999999999997,275.59473684210525,252
England,Australia,Sydney,227.8,208.5,188.14210526315787,246
Sri Lanka,India,Rajkot,266.79999999999995,298.09489212302253,234.79473684210527,257
Pakistan,South Africa,Cape Town,277.1,251.10717045864254,263.59473684210525,107
Sri Lanka,India,Margao,221.50000000000003,276.36132635823657,240.18421052631578,230
Pakistan,South Africa,Johannesburg,186.60000000000002,262.2069396763119,229.03684210526316,153
Australia,New Zealand,Wellington,305.0,310.0,264.6684210526316,148
Sri Lanka,India,Visakhapatnam,237.3,327.5059363150814,243.69473684210527,259
Australia,New Zealand,Auckland,191.29999999999998,296.66666666666663,241.04736842105262,336
Australia,New Zealand,Hamilton,286.5,179.74478309192276,258.8157894736842,346
West Indies,Pakistan,Kingston,181.0,223.79999999999998,176.7842105263158,241
England,New Zealand,Gros Islet,255.70000000000002,279.0,207.80526315789473,209
India,Bangladesh,Port of Spain,361.66666666666663,257.5,256.8315789473684,191
Sri Lanka,Bangladesh,Port of Spain,301.4,221.79386631709153,243.7157894736842,318
Sri Lanka,India,Port of Spain,270.79999999999995,231.16858172051218,256.62631578947367,254
Australia,South Africa,Basseterre,373.2,290.9854921780015,277.0,377
Australia,West Indies,North Sound,236.5,316.82936660784503,290.521052631579,322
Sri Lanka,South Africa,Providence,256.5,277.9185182203617,254.00526315789475,209
West Indies,New Zealand,North Sound,209.5,290.78986170997075,188.50526315789472,177
Bangladesh,Australia,North Sound,174.0,170.28991559589608,168.17894736842106,104
Sri Lanka,West Indies,Providence,204.49999999999997,221.48892657283363,246.03157894736844,303
Bangladesh,New Zealand,North Sound,183.3333333333333,135.56197674574068,154.7736842105263,174
Sri Lanka,England,North Sound,345.3,207.04839198799448,259.5842105263158,235
Bangladesh,South Africa,Providence,70.0,174.87870888531037,154.94210526315788,251
England,Australia,North Sound,252.49999999999997,196.8484324747055,202.90526315789472,247
South Africa,West Indies,St George's,296.3,247.2539655767143,282.0105263157895,356
Bangladesh,England,Bridgetown,227.2,168.46072658341163,175.43684210526317,143
New Zealand,Sri Lanka,St George's,284.1,261.6350514847539,254.9842105263158,219
South Africa,New Zealand,St George's,157.89999999999998,425.0,296.86842105263156,193
Sri Lanka,Australia,St George's,250.99999999999997,255.08399068110182,258.15263157894736,226
England,South Africa,Bridgetown,259.5,239.00000000000003,206.40526315789475,154
West Indies,Bangladesh,Bridgetown,181.2,282.5,188.33157894736843,230
Australia,New Zealand,St George's,324.5,221.33333333333334,292.65789473684214,348
West Indies,England,Bridgetown,255.70000000000002,278.7,207.9157894736842,300
Sri Lanka,New Zealand,Kingston,181.1,229.37345437759657,249.1578947368421,289
South Africa,Australia,Gros Islet,251.70000000000002,276.5965226735864,281.61578947368423,149
Australia,Sri Lanka,Bridgetown,364.9,290.99856781174446,302.94736842105266,281
Bangladesh,India,Dhaka,242.20000000000002,196.4,168.8421052631579,250
India,Bangladesh,Dhaka,227.0,322.90000000000003,249.44736842105263,284
Sri Lanka,Pakistan,Abu Dhabi,194.5,246.35498364798573,263.7736842105263,235
Pakistan,Sri Lanka,Abu Dhabi,91.20000000000005,242.49720160906386,197.9578947368421,313
Sri Lanka,Pakistan,Abu Dhabi,231.5,273.5882932925074,247.17894736842106,296
India,South Africa,Belfast,159.49999999999997,271.2631707338323,257.9789473684211,242
South Africa,India,Belfast,243.9,250.49464504629833,246.09473684210528,148
West Indies,England,Birmingham,319.30000000000007,184.94993515709427,233.26315789473682,278
West Indies,England,Nottingham,306.5,219.54726765533357,241.7736842105263,289
Sri Lanka,Bangladesh,Colombo (PSS),328.0,284.50846430272327,252.01052631578946,234
Bangladesh,Sri Lanka,Colombo (RPS),143.6,72.6666666666667,180.65263157894736,137
Sri Lanka,Bangladesh,Colombo (RPS),290.9,195.20000000000002,247.1263157894737,196
England,India,Southampton,146.0,291.0,204.23157894736843,288
India,England,Bristol,277.6,272.2423345195729,250.49473684210525,329
England,India,Birmingham,236.39999999999998,208.8132006027347,215.89473684210526,281
India,England,Manchester,331.6,224.1417654398004,275.7684210526316,212
India,England,Leeds,268.1,235.03265496653728,263.15263157894736,324
England,India,The Oval,270.2,259.0,227.17894736842106,316
India,England,Lord's,291.09999999999997,242.0587603748985,283.3315789473684,187
Sri Lanka,England,Dambulla,271.5,296.0,242.1842105263158,269
Australia,India,Kochi,245.19999999999996,347.9779719606576,306.0736842105263,306
England,Sri Lanka,Dambulla,317.1,33.00000000000002,245.8684210526316,234
Australia,India,Hyderabad (Deccan),300.3,363.69875876610763,317.9736842105263,290
Sri Lanka,England,Dambulla,261.6,298.80000000000007,253.66842105263157,164
India,Australia,Chandigarh,200.0,274.1986137677486,267.4157894736842,291
Sri Lanka,England,Colombo (RPS),153.3,167.50000000000003,243.0736842105263,211
India,Australia,Vadodara,263.0,392.0,269.8578947368421,148
Sri Lanka,England,Colombo (RPS),153.90000000000003,150.9,238.3842105263158,211
Australia,India,Nagpur,276.5,388.43790354756834,311.5578947368421,317
Australia,India,Mumbai,294.90000000000003,274.80516287645975,312.4736842105263,193
South Africa,Pakistan,Lahore,346.1,351.0,229.71578947368423,294
Pakistan,South Africa,Lahore,164.10000000000002,295.6,214.8578947368421,265
South Africa,Pakistan,Faisalabad,374.5,246.15418277579892,247.11052631578949,197
Pakistan,South Africa,Multan,198.0,117.00000000000004,208.88947368421051,230
South Africa,Pakistan,Lahore,255.7,315.0,242.24736842105264,233
Pakistan,India,Guwahati,219.2,221.58836331306597,210.98421052631576,239
India,Pakistan,Mohali,228.4,302.0,250.55263157894737,321
India,Pakistan,Kanpur,298.3,244.50844308432156,264.978947368421,294
Pakistan,India,Gwalior,231.6,286.71632602936427,217.4842105263158,255
