batsman,country,total_runs,run_rate,average_score,team_score,opponent_mean,player_of_the_match,winning_contribution,run_rate_effectiveness,consistency,no_of_matches_batsman,batsman_score,batsman_quantile
GJ Maxwell,Australia,213,1.0812182741116751,26.625,4.155460768679217,7.412340457736966,0,0.09895150720838794,1.354736089598475,0.03623339598876536,8,5.0584968190374,4
Mahmudullah,Bangladesh,309,0.8982558139534884,30.9,2.1656960941645207,6.241546313013108,0,0.20150187734668334,1.115632345309686,0.03318433829890369,10,4.993005221908579,4
Mushfiqur Rahim,Bangladesh,433,0.8247619047619048,43.3,2.1656960941645207,6.241546313013108,1,0.07509386733416772,0.8021791945814621,0.027133936712367895,10,4.9787713950217345,4
HM Nicholls,New Zealand,183,1.063953488372093,36.6,5.1362534056841165,6.4,0,0.04862085086489014,1.344423062287311,0.03319896500520025,5,4.966229471827823,4
TA Boult,New Zealand,23,0.6052631578947368,4.6,5.1362534056841165,7.127320193047209,2,0.007947639083683964,2.3624357176250586,0.15285446012893575,5,4.95247941672606,3
R Ashwin,India,17,1.0,5.666666666666667,10.0,7.30280478634927,0,0.003112678979041295,1.5174310022826312,0.12371791482634838,3,4.855189509071922,3
MDKJ Perera,Sri Lanka,91,0.8125,45.5,1.8461268490271732,9.331419856969404,0,0.0704647676161919,1.1366273385046608,0.47140452079103173,2,4.83219552541332,3
DAJ Bracewell,New Zealand,5,2.5,5.0,5.1362534056841165,1.0,1,0.0023375409069658717,2.7793361383824218,0.0,1,4.827293861249846,3
Imam-ul-Haq,Pakistan,147,0.7386934673366834,49.0,7.256554212631874,1.8461268490271732,1,0.061920808761583825,0.9129429794295826,0.02035735448125178,3,4.805715020629718,3
B Kumar,India,47,0.746031746031746,9.4,10.0,5.144065061846069,2,0.004150238638721726,0.5950709812873064,0.07935508313361894,5,4.761025292805549,3
Azhar Ali,Pakistan,206,0.6936026936026936,34.333333333333336,7.256554212631874,5.273073204712133,0,0.07118786857624262,0.9160754666784907,0.03534944797554753,6,4.749105694956826,3
CR Woakes,England,169,1.0,24.142857142857142,7.325930073207967,5.951834244848401,0,0.04840724547158026,0.9623603958217938,0.04352726593558085,7,4.689827964008737,3
RA Jadeja,India,65,0.9701492537313433,13.0,10.0,6.046868886451156,0,0.006017846026146504,1.2223749740610084,0.3922322702763681,5,4.686935748264876,3
NLTC Perera,Sri Lanka,210,1.0552763819095476,19.09090909090909,1.8461268490271732,7.079156133101846,1,0.07796101949025487,1.446176911544228,0.04799650947168938,11,4.6734135263704655,3
JC Buttler,England,216,0.9773755656108597,18.0,7.325930073207967,6.031777230011035,0,0.052154903185509055,1.0114211593214364,0.044439457130907516,12,4.635962600170208,3
F Behardien,South Africa,125,1.2254901960784315,20.833333333333332,8.662839713938807,3.4143048942125787,0,0.03203797092850786,1.4349638557979048,0.0661444717851178,6,4.635825967137805,3
DAS Gunaratne,Sri Lanka,356,0.7946428571428571,29.666666666666668,1.8461268490271732,7.797082057049479,0,0.10194902548725637,1.1637873371006806,0.03423630737225827,12,4.635237507605499,3
N Dickwella,Sri Lanka,529,0.9670932358318098,26.45,1.8461268490271732,8.775818177971203,0,0.049475262368815595,0.8343328335832084,0.04171061478617854,20,4.610145357322185,3
D Pretorius,South Africa,71,1.126984126984127,17.75,8.662839713938807,4.393614077804218,1,0.003263126668644319,0.9256402650054385,0.04531820293625083,4,4.5998847892330055,3
JJ Bumrah,India,11,0.3548387096774194,3.6666666666666665,10.0,4.419380610112755,2,0.002075119319360863,1.4451723831263155,0.18156825980064073,3,4.596913873711831,3
JO Holder,West Indies,288,0.8944099378881988,20.571428571428573,1.0,7.762272843950265,1,0.047109207708779445,1.6069474185105879,0.053338491590733644,14,4.57858700812273,3
PSP Handscomb,Australia,149,0.9867549668874173,21.285714285714285,4.155460768679217,7.826516462375998,0,0.08256880733944955,1.0628087508821453,0.032647014242553,7,4.5683250769731,3
Shadab Khan,Pakistan,52,0.7647058823529411,52.0,7.256554212631874,1.8461268490271732,1,0.02190395956192081,0.9450914316864066,0.0,1,4.555754217723393,3
TS Roland-Jones,England,37,0.9736842105263158,37.0,7.325930073207967,8.662839713938807,0,0.0,0.0,0.0,1,4.550197147484003,3
MD Gunathilaka,Sri Lanka,188,0.8245614035087719,23.5,1.8461268490271732,7.698493300120115,0,0.1664167916041979,0.9800099950024987,0.040188756299525244,8,4.511615961031113,3
SD Hope,West Indies,504,0.6737967914438503,33.6,1.0,7.733183325900778,0,0.10492505353319058,0.8589864382583868,0.04162127138420089,15,4.5101198788928585,3
T Bavuma,South Africa,48,1.0,48.0,8.662839713938807,2.1656960941645207,0,0.014239098190447939,1.009789380005933,0.0,1,4.4984485476468326,3
CH Morris,South Africa,144,1.0827067669172932,16.0,8.662839713938807,5.066555656727756,0,0.01928211213289825,1.0255673390685256,0.08391813582966891,9,4.447795263508301,3
MK Pandey,India,171,0.8860103626943006,24.428571428571427,10.0,3.165746231685483,0,0.02822162274330774,0.9051342820633239,0.05297863877828799,7,4.438108093709777,3
JP Duminy,South Africa,279,0.7246753246753247,19.928571428571427,8.662839713938807,4.409246965295493,0,0.0548798576090181,0.7816361309669355,0.0888992616776017,14,4.410969482874446,3
DG Brownlie,New Zealand,158,0.7181818181818181,26.333333333333332,5.1362534056841165,7.911609889728876,0,0.047218326320710616,0.8256263234606607,0.04453176098749382,6,4.3904151501979864,3
Imran Tahir,South Africa,1,0.125,1.0,8.662839713938807,10.0,2,0.0,0.0,0.0,1,4.356863940977204,3
Sabbir Rahman,Bangladesh,246,0.8631578947368421,24.6,2.1656960941645207,6.241546313013108,0,0.15894868585732166,0.9433033121467194,0.045950913880862976,10,4.3496779197225415,3
AL Phehlukwayo,South Africa,72,0.9,12.0,8.662839713938807,5.816731064070807,0,0.010382675763868289,1.2622367250074162,0.07554973565193743,6,4.341892352101066,3
LE Plunkett,England,71,1.2033898305084745,11.833333333333334,7.325930073207967,5.732134603052665,0,0.011242973141786383,1.26925136075667,0.12041494233425122,6,4.277013419050837,3
KD Karthik,India,183,0.6752767527675276,26.142857142857142,10.0,3.014430559300956,0,0.029881718198796432,0.7960293782466262,0.03934012414975969,7,4.25986794271749,3
AR Nurse,West Indies,219,0.9733333333333334,14.6,1.0,7.733183325900778,0,0.08137044967880086,1.8504243001031009,0.07135579650246376,15,4.252603703241139,3
C Munro,New Zealand,214,1.0046948356807512,23.77777777777778,5.1362534056841165,4.9602570806319415,0,0.059841047218326324,1.120488269962047,0.04003382062326827,9,4.2484244588942826,3
E Lewis,West Indies,282,0.6714285714285714,20.142857142857142,1.0,7.762272843950265,0,0.17558886509635974,0.8229890318256862,0.04917604380807123,14,4.236015550729535,3
C de Grandhomme,New Zealand,149,0.9738562091503268,29.8,5.1362534056841165,9.197703828363284,0,0.0,0.0,0.07900757718999621,5,4.164076918653887,3
AU Rashid,England,37,1.15625,7.4,7.325930073207967,4.61112946645096,0,0.009369144284821987,1.6453258380179054,0.22194838080923765,5,4.049340715540104,3
Imad Wasim,Pakistan,161,0.9817073170731707,17.88888888888889,7.256554212631874,3.3338625392354633,0,0.038753159224936815,1.2358887952822242,0.07578561102574148,9,4.038590224987564,3
NT Broom,New Zealand,249,0.7708978328173375,24.9,5.1362534056841165,4.912245903487639,0,0.06404862085086489,0.8653842067236177,0.03604556154821991,10,4.019584104404085,3
Sarfraz Ahmed,Pakistan,137,0.8303030303030303,22.833333333333332,7.256554212631874,1.4230634245135867,1,0.04928390901432182,0.9513091384738173,0.046923713220346504,6,3.995708438085224,3
Umar Akmal,Pakistan,131,0.7987804878048781,26.2,7.256554212631874,4.155460768679217,0,0.007582139848357203,1.0593332530990491,0.06527448517604616,5,3.9706453231384464,3
WD Parnell,South Africa,94,1.0930232558139534,11.75,8.662839713938807,3.7648997107961257,0,0.013645802432512608,1.0322291440060647,0.07128583093062783,8,3.969440043482582,3
TG Southee,New Zealand,86,1.2112676056338028,9.555555555555555,5.1362534056841165,7.087896316283039,0,0.004675081813931743,1.1117344553529687,0.11007784644829333,9,3.9365272940055145,3
SW Billings,England,87,0.7565217391304347,29.0,7.325930073207967,4.0,0,0.02717051842598376,0.7468348586481275,0.03771571432023571,3,3.871853118129844,3
KL Rahul,India,48,0.6857142857142857,9.6,10.0,5.134008783535649,0,0.007677941481635194,0.6566660477714311,0.2141764684390597,5,3.846978891260966,3
CA Lynn,Australia,16,1.1428571428571428,16.0,4.155460768679217,7.256554212631874,0,0.010484927916120577,1.127878674405542,0.0,1,3.842911017082499,3
GH Worker,New Zealand,132,0.9041095890410958,44.0,5.1362534056841165,1.3885653647215068,0,0.061711079943899017,1.005129781551999,0.04275691248090128,3,3.8236188943660707,3
KA Hope,West Indies,137,0.6919191919191919,27.4,1.0,8.492436695778418,0,0.07494646680942184,0.7079558557074617,0.06162750284963654,5,3.73247433913821,3
JL Carter,West Indies,187,0.7759336099585062,26.714285714285715,1.0,7.678207551074218,0,0.029978586723768737,1.227123483226267,0.05511184619982686,7,3.712137694964959,3
DJ Willey,England,42,0.8235294117647058,10.5,7.325930073207967,7.415709928484702,0,0.0003123048094940662,0.32906516760358107,0.0911605688194146,4,3.6489808181548837,2
RL Chase,West Indies,59,0.7866666666666666,14.75,1.0,10.0,0,0.05139186295503212,0.9280765839526389,0.06128514130358956,4,3.6450343975380792,2
KOA Powell,West Indies,111,0.6607142857142857,15.857142857142858,1.0,7.678207551074218,0,0.13062098501070663,0.9113782363247032,0.04689053899075231,7,3.6377411107281716,2
MA Starc,Australia,51,1.1333333333333333,10.2,4.155460768679217,6.408433889852771,0,0.010484927916120577,1.2146385724367377,0.09178561887086671,5,3.5992795847769776,2
HDRL Thirimanne,Sri Lanka,360,0.6417112299465241,36.0,1.8461268490271732,8.628277106315938,0,0.0,0.0,0.036827146210517726,10,3.5820933706530504,2
MJ Santner,New Zealand,147,0.6681818181818182,13.363636363636363,5.1362534056841165,6.192950821352398,0,0.02337540906965872,0.9926200494222935,0.08041159109898754,11,3.5787784444234374,2
CH Gayle,West Indies,193,1.1420118343195267,48.25,1.0,6.778510906327004,0,0.0,0.0,0.031746031746031744,4,3.504172270534042,2
Mosaddek Hossain,Bangladesh,108,0.8925619834710744,15.428571428571429,2.1656960941645207,5.203849141187809,0,0.05131414267834793,1.6640443411407115,0.07560318144881446,7,3.4902208249660585,2
AC Agar,Australia,9,1.2857142857142858,4.5,4.155460768679217,10.0,0,0.0,0.0,0.15713484026367722,2,3.4655700168602714,2
JT Ball,England,9,0.5625,3.0,7.325930073207967,7.0185491107516,1,0.0,0.0,0.2773500981126146,3,3.3900332538778177,2
UT Khawaja,Australia,56,0.6153846153846154,18.666666666666668,4.155460768679217,7.256554212631873,0,0.025557011795543906,0.5498408537727018,0.09435081955836584,3,3.330651894309201,2
TD Astle,New Zealand,64,1.0491803278688525,32.0,5.1362534056841165,1.0,0,0.029920523609163162,1.166409920370328,0.04159451654038515,2,3.329402666559199,2
