batsman,country,total_runs,run_rate,average_score,team_score,opponent_mean,player_of_the_match,winning_contribution,run_rate_effectiveness,correlation,no_of_matches_batsman,batsman_score,batsman_quantile
Morne van Wyk,South Africa,94,0.6266666666666667,23.5,8.492026600114938,7.75,0,0.022242260294559665,0.6065573770491803,0.5325947462053167,4,4.48899867583161,3
Dimuth Karunaratne,Sri Lanka,83,0.6384615384615384,13.833333333333334,8.16041512334615,10.0,0,0.008145849495733127,0.5526315789473685,-0.5009674846580342,6,4.4833193180105155,3
Babar Azam,Pakistan,176,0.8888888888888888,29.333333333333332,3.3537458303909613,7.564665575341464,0,0.07160493827160494,0.9456521739130435,0.1292076317521152,6,4.465308600847889,3
Daren Sammy,West Indies,195,0.826271186440678,24.375,1.0,7.666827181738102,0,0.15254237288135594,1.0125,0.6946367880788671,8,4.457696168107605,3
Trent Boult,New Zealand,13,1.4444444444444444,3.25,10.0,7.423293130453762,1,0.0,0.0,0.8781838337042067,4,4.450377272399189,3
Misbah-ul-Haq,Pakistan,276,0.711340206185567,46.0,3.3537458303909613,7.02429142026983,0,0.04609053497942387,0.6511627906976745,0.687400053230519,6,4.4366860138783,3
Adam Milne,New Zealand,62,0.7380952380952381,10.333333333333334,10.0,8.099713644805536,0,0.001600365797896662,0.5384615384615384,0.8672592093179906,6,4.385679695273282,3
Nasir Hossain,Bangladesh,146,1.020979020979021,24.333333333333332,4.775773092293983,6.401331383220563,0,0.02019650655021834,1.3214285714285714,-0.6373836152852171,6,4.382496938663182,3
Jean-Paul Duminy,South Africa,228,0.7808219178082192,20.727272727272727,8.492026600114938,4.362567864248688,0,0.017733694018635407,1.0727272727272728,-0.18823859467520293,11,4.381729437733558,3
Doug Bracewell,New Zealand,43,0.8113207547169812,21.5,10.0,8.326220861730544,0,0.0,0.0,1.0,2,4.351526250777238,3
Stuart Binny,India,70,0.8433734939759037,17.5,5.520738622939159,6.95034532377179,0,0.00913978494623656,1.5454545454545454,-0.6405390191252084,4,4.320766167396762,3
Nathan McCullum,New Zealand,62,0.6078431372549019,12.4,10.0,7.086678695707464,0,0.007773205304069501,0.6538461538461539,-0.24135475097168518,5,4.286019583422324,3
Mohammad Rizwan,Pakistan,249,0.950381679389313,24.9,3.3537458303909613,6.876935217428391,0,0.04526748971193416,0.9821428571428571,0.36567675274005684,10,4.259987557138144,3
John Hastings,Australia,34,1.3076923076923077,34.0,7.132983298564889,7.266790801339121,0,0.0,0.0,0.01,1,4.252093330908447,3
Thisara Perera,Sri Lanka,63,0.7159090909090909,6.3,8.16041512334615,7.568624738985271,0,0.013576415826221877,1.0294117647058822,0.4508657068677054,10,4.25177321482345,3
Denesh Ramdin,West Indies,219,0.8622047244094488,19.90909090909091,1.0,7.831588572792006,0,0.1016949152542373,1.125,0.5160496499280636,11,4.225998722359892,3
Jeevan Mendis,Sri Lanka,60,0.9375,12.0,8.16041512334615,10.0,0,0.0,0.0,0.2694253192518183,5,4.215919401563034,3
Moeen Ali,England,248,0.8184818481848185,14.588235294117647,7.266790801339121,6.366808978810315,0,0.019954819277108432,0.6708860759493671,0.004375408357603139,17,4.19757460681976,3
Shaminda Eranga,Sri Lanka,5,1.25,5.0,8.16041512334615,10.0,0,0.0,0.0,0.01,1,4.182603455904155,3
Jason Holder,West Indies,263,1.0958333333333334,26.3,1.0,8.27937284703211,0,0.02448210922787194,1.0833333333333333,-0.21550712930152993,10,4.181944316221495,3
Chris Woakes,England,154,0.8148148148148148,12.833333333333334,7.266790801339121,6.811796313243707,0,0.00677710843373494,0.9,0.15574589364583774,12,4.176714642711884,3
Mitchell McClenaghan,New Zealand,23,1.0952380952380953,7.666666666666667,10.0,7.973077508266736,0,0.0,0.0,0.8877241192606548,3,4.138579197517876,3
Harbhajan Singh,India,42,0.9545454545454546,10.5,5.520738622939159,8.492026600114938,0,0.011827956989247311,0.9565217391304348,-0.22409190132159817,4,4.11850617656446,3
David Willey,England,40,0.7547169811320755,8.0,7.266790801339121,7.523942485504148,0,0.007153614457831325,1.0555555555555556,0.6740621227497585,5,4.105389211641951,3
Sachith Pathirana,Sri Lanka,66,0.9166666666666666,22.0,8.16041512334615,3.3537458303909613,0,0.012800620636152055,1.1785714285714286,0.5333598053381876,3,4.0959478599509005,3
Joe Burns,Australia,77,0.6754385964912281,15.4,7.132983298564889,7.266790801339122,0,0.020748192392329456,0.7415730337078652,0.5966861617080935,5,4.085736675759418,2
Ajantha Mendis,Sri Lanka,25,0.8928571428571429,12.5,8.16041512334615,5.5,0,0.008145849495733127,1.05,-1.0,2,4.079724035744171,2
Liton Das,Bangladesh,100,0.8064516129032258,16.666666666666668,4.775773092293983,7.006382611527048,0,0.036026200873362446,0.9041095890410958,0.1771249248285055,6,3.9659697086364436,2
