batsman,country,total_runs,run_rate,average_score,team_score,opponent_mean,player_of_the_match,winning_contribution,run_rate_effectiveness,consistency,batsman_score,batsman_quantile
KW Richardson,Australia,6,2.0,3.0,3.4241371531694114,1.9791734609476543,0,0.0013950244129272262,2.1181120669611717,0.35355339059327373,2.7622154068769555,3
Imad Wasim,Pakistan,334,1.3253968253968254,23.857142857142858,1.9791734609476543,2.553798160364981,0,0.036077705827937095,1.6383522881863197,0.06029624561544126,2.7012519904648387,3
WIA Fernando,Sri Lanka,341,0.9660056657223796,31.0,0.8184408602150538,1.724531861100776,2,0.18411284335560504,1.1113051224944321,0.029220286388261525,2.6747713893428937,3
KD Karthik,India,89,0.7946428571428571,14.833333333333334,3.581206965077933,2.7065768729478403,0,0.01859612362493452,1.2273441592456782,0.07096542815071105,2.6320031095844905,3
Asif Ali,Pakistan,161,1.2290076335877862,26.833333333333332,1.9791734609476543,3.2153629077016177,0,0.0064754856614246065,1.2497687326549491,0.05026670215869438,2.620025384116691,3
JP Behrendorff,Australia,19,1.2666666666666666,3.8,3.4241371531694114,2.687974111909596,0,0.0013950244129272262,1.588584050220879,0.21466939537054588,2.6006374400464596,3
Hasan Ali,Pakistan,136,1.4166666666666667,17.0,1.9791734609476543,2.742996392048812,0,0.004625346901017576,2.142460684551341,0.05039754872284373,2.58834894446292,3
TA Boult,New Zealand,22,0.7857142857142857,3.6666666666666665,2.9073118279569887,3.4870955120148666,1,0.0010046885465505692,1.0425318151373073,0.30618621784789724,2.571497375904718,3
TWM Latham,New Zealand,276,0.8046647230320699,25.09090909090909,2.9073118279569887,2.4447311925611044,0,0.027461486939048894,0.982616193577692,0.04314150125639437,2.5623028091365887,3
C Munro,New Zealand,294,1.0208333333333333,24.5,2.9073118279569887,1.6655711985147474,0,0.07367716008037509,1.1467849966510382,0.040246625942061506,2.561455950396478,3
SS Iyer,India,130,1.0,43.333333333333336,3.581206965077933,0.8532234432234432,0,0.01571503404924044,1.5557883708748035,0.030681006001680916,2.558347338012956,3
CR Woakes,England,144,0.8135593220338984,14.4,3.1736080586080586,1.8863712309196174,2,0.024830109775222164,0.7272276218912526,0.08092164105285338,2.555671353648095,3
LE Plunkett,England,54,1.588235294117647,10.8,3.1736080586080586,1.9619127861385928,0,0.013591217982226868,1.5152015918250343,0.09357653245108614,2.535495771245076,3
PJ Cummins,Australia,68,0.8292682926829268,6.181818181818182,3.4241371531694114,2.4933391193361865,1,0.010462683096954197,0.9928650313880493,0.13766788510237096,2.50990799081932,3
Mushfiqur Rahim,Bangladesh,600,0.8368200836820083,40.0,0.6692514474772538,2.040062407126923,0,0.15948670944087992,0.9636710168332532,0.029867384554474945,2.4903794845644747,3
MJ Henry,New Zealand,37,0.9736842105263158,7.4,2.9073118279569887,2.3647428592912467,2,0.004353650368385801,0.8470570997990623,0.17074694419062766,2.4885709446821425,3
B Kumar,India,85,0.8095238095238095,12.142857142857142,3.581206965077933,2.809085484408065,0,0.0020953378732320588,0.7260345730749083,0.05523180247509998,2.4698739361882414,3
HM Amla,South Africa,345,0.7666666666666667,38.333333333333336,1.7985702469573437,2.264048335177367,0,0.06451612903225806,0.8522920203735144,0.026022349785057318,2.4090827573293883,3
