bowler,country,inverse_economy,no_of_wickets,wickets_per_match,wickets_per_run,no_of_wins,team_score,opponent_mean,winning_contribution,winning_wicket_rate_contribution,no_of_matches_bowler,bowler_score,bowler_quantile
Kasun Rajitha,Sri Lanka,0.16847826086956522,2.0,0.6666666666666666,0.021739130434782608,1,4.556830402876305,8.220653561379015,0.023255813953488372,0.11627906976744186,3,3.6556657577728267,2
Nazmul Islam,Bangladesh,0.17857142857142858,1.0,1.0,0.017857142857142856,0,5.097985921430424,9.871368852058248,0.0,0.0,1,3.6463208099895397,2
Billy Stanlake,Australia,0.17391304347826086,6.0,1.5,0.028985507246376812,0,1.5837831417466806,10.000000000000002,0.0,0.0,4,3.590437358956593,2
Jhye Richardson,Australia,0.13653136531365315,7.0,1.75,0.025830258302583026,0,1.5837831417466806,10.000000000000002,0.0,0.0,4,3.5746389437825252,2
Kemar Roach,West Indies,0.17732558139534885,5.0,0.625,0.014534883720930232,2,1.7933354114031586,8.081350253072813,0.09090909090909091,0.13636363636363638,8,3.5660559496551754,2
Lakshan Sandakan,Sri Lanka,0.13541666666666666,3.0,0.75,0.015625,2,4.556830402876305,7.439986651391867,0.046511627906976744,0.11627906976744186,4,3.561500371227665,2
Olly Stone,England,0.16494845360824742,1.0,0.3333333333333333,0.010309278350515464,3,10.000000000000002,4.556830402876305,0.007575757575757576,0.04292929292929293,3,3.5171587770386754,2
Devendra Bishoo,West Indies,0.20481283422459892,6.0,0.6666666666666666,0.016042780748663103,2,1.7933354114031586,6.689113564973032,0.09090909090909091,0.13636363636363638,9,3.502362401079149,2
Nuwan Pradeep,Sri Lanka,0.16666666666666666,4.0,1.0,0.024691358024691357,0,4.556830402876305,8.774496480357607,0.0,0.0,4,3.4717496347986883,2
Lahiru Kumara,Sri Lanka,0.15285714285714286,4.0,1.0,0.02857142857142857,2,4.556830402876305,4.661960684137039,0.046511627906976744,0.11627906976744186,4,3.425716425618658,2
Todd Astle,New Zealand,0.1518987341772152,3.0,1.5,0.0379746835443038,2,5.04195208743842,1.0,0.04477611940298507,0.1791044776119403,2,3.3663589554112887,2
Danushka Gunathilaka,Sri Lanka,0.5,0.0,0.0,0.0,1,4.556830402876305,5.097985921430424,0.0,0.0,1,3.3546929411564994,2
Mitchell Marsh,Australia,0.2222222222222222,3.0,0.6,0.037037037037037035,1,1.5837831417466806,10.000000000000002,0.0,0.0,5,3.341826108192902,2
Wiaan Mulder,South Africa,0.14705882352941177,5.0,1.0,0.024509803921568627,3,4.661960684137039,4.556830402876305,0.0392156862745098,0.0784313725490196,5,3.341648084535981,2
Imran Tahir,South Africa,0.18516129032258064,3.0,0.42857142857142855,0.00967741935483871,2,4.661960684137039,6.319546404781861,0.0392156862745098,0.11764705882352941,7,3.3133779091709217,2
Amila Aponso,Sri Lanka,0.15378151260504203,3.0,1.0,0.025210084033613446,0,4.556830402876305,8.365995307143477,0.0,0.0,3,3.2930890858054074,2
Junaid Khan,Pakistan,0.24,4.0,2.0,0.05333333333333334,0,1.0,5.069969004434422,0.0,0.0,2,3.280987701587563,2
Keemo Paul,West Indies,0.14209115281501342,6.0,0.8571428571428571,0.0160857908847185,2,1.7933354114031586,6.4618096158955165,0.09090909090909091,0.13636363636363638,7,3.2800035323761705,2
Soumya Sarkar,Bangladesh,0.2631578947368421,1.0,1.0,0.05263157894736842,1,5.097985921430424,1.0,0.017241379310344827,0.12068965517241378,1,3.258130452726479,2
Jean-Paul Duminy,South Africa,0.17358490566037735,4.0,0.4444444444444444,0.01509433962264151,4,4.661960684137039,6.918847491401612,0.0,0.0,9,3.140898192619523,2
Mohammad Hafeez,Pakistan,0.2962962962962963,1.0,0.5,0.018518518518518517,1,1.0,5.04195208743842,0.125,0.125,2,3.1293543781908078,2
Mohammad Saifuddin,Bangladesh,0.22388059701492538,2.0,0.6666666666666666,0.029850746268656716,2,5.097985921430424,3.6356654057185893,0.017241379310344827,0.06034482758620689,3,3.0835726370922067,2
Ashton Agar,Australia,0.1810344827586207,4.0,0.8,0.017241379310344827,0,1.5837831417466806,10.000000000000002,0.0,0.0,5,2.9911659342773786,2
Nasir Hossain,Bangladesh,0.1794871794871795,1.0,0.5,0.02564102564102564,1,5.097985921430424,4.556830402876305,0.017241379310344827,0.12068965517241378,2,2.9818130381486476,2
Nathan Lyon,Australia,0.24285714285714285,1.0,0.5,0.014285714285714285,0,1.5837831417466806,10.000000000000002,0.0,0.0,2,2.9365686007452414,2
Keshav Maharaj,South Africa,0.21739130434782608,2.0,1.0,0.028985507246376812,0,4.661960684137039,4.556830402876305,0.0,0.0,2,2.8515483209369172,2
Michael Neser,Australia,0.13666666666666666,2.0,1.0,0.016666666666666666,0,1.5837831417466806,10.000000000000002,0.0,0.0,2,2.810887678824728,2
Rovman Powell,West Indies,0.16630434782608697,2.0,0.5,0.021739130434782608,1,1.7933354114031586,6.291331654087379,0.045454545454545456,0.13636363636363638,4,2.7666571590291325,2
Dasun Shanaka,Sri Lanka,0.1282051282051282,1.0,0.5,0.02564102564102564,1,4.556830402876305,4.879973302783732,0.023255813953488372,0.11627906976744186,2,2.7063113378376062,2
Mahmudullah,Bangladesh,0.19555555555555554,2.0,0.3333333333333333,0.014814814814814815,3,5.097985921430424,3.4680342481906723,0.017241379310344827,0.04022988505747126,6,2.5888776645517915,2
Rumman Raees,Pakistan,0.15425531914893617,8.0,1.6,0.028368794326241134,0,1.0,5.04195208743842,0.0,0.0,5,2.539931664983655,2
Asela Gunaratne,Sri Lanka,0.13157894736842105,1.0,1.0,0.02631578947368421,0,4.556830402876305,5.097985921430424,0.0,0.0,1,2.46697784018344,2
Mosaddek Hossain,Bangladesh,0.2112676056338028,1.0,0.25,0.014084507042253521,3,5.097985921430424,2.4842091592714457,0.017241379310344827,0.04022988505747126,4,2.365553742460806,2
Jake Ball,England,0.1724137931034483,0.0,0.0,0.0,2,10.000000000000002,1.5837831417466806,0.0,0.0,2,2.3219877328772327,1
Adam Zampa,Australia,0.16776315789473684,2.0,0.3333333333333333,0.006578947368421052,2,1.5837831417466806,8.220653561379015,0.0,0.0,6,2.305045807673368,1
Fakhar Zaman,Pakistan,0.2113636363636364,1.0,0.5,0.022727272727272728,0,1.0,7.456660469748334,0.0,0.0,2,2.262784943072085,1
Alzarri Joseph,West Indies,0.14285714285714285,1.0,0.5,0.008928571428571428,1,1.7933354114031586,5.097985921430424,0.045454545454545456,0.13636363636363638,2,2.2371766173065994,1
Faheem Ashraf,Pakistan,0.18315018315018314,6.0,0.75,0.02197802197802198,1,1.0,5.645629183015899,0.0,0.0,8,2.2358769725944523,1
Haris Sohail,Pakistan,0.20689655172413793,1.0,1.0,0.034482758620689655,0,1.0,5.04195208743842,0.0,0.0,1,2.1895380614880997,1
Roston Chase,West Indies,0.19801980198019803,2.0,0.6666666666666666,0.019801980198019802,1,1.7933354114031586,5.097985921430424,0.0,0.0,3,2.106031370851559,1
Aaron Finch,Australia,0.16666666666666666,0.0,0.0,0.0,0,1.5837831417466806,10.000000000000002,0.0,0.0,2,2.085325393083707,1
Ambati Rayudu,India,0.17,0.0,0.0,0.0,1,9.871368852058248,1.0,0.0,0.0,1,2.0645007787363108,1
Travis Head,Australia,0.1357142857142857,0.0,0.0,0.0,1,1.5837831417466806,10.000000000000002,0.0,0.0,3,2.0466770382272097,1
Fabian Allen,West Indies,0.17557251908396945,0.0,0.0,0.0,1,1.7933354114031586,8.678023119401292,0.0,0.0,4,2.011029735523496,1
Craig Overton,England,0.12727272727272726,0.0,0.0,0.0,1,10.000000000000002,1.5837831417466806,0.0,0.0,1,2.0075014330868877,1
Junior Dala,South Africa,0.14049586776859505,1.0,0.5,0.008264462809917356,0,4.661960684137039,4.556830402876305,0.0,0.0,2,1.9264731398119186,1
Sheldon Cottrell,West Indies,0.15254237288135594,1.0,1.0,0.01694915254237288,0,1.7933354114031586,5.097985921430424,0.0,0.0,1,1.913494310847101,1
Chandrapaul Hemraj,West Indies,0.12222222222222223,0.0,0.0,0.0,0,1.7933354114031586,9.871368852058248,0.0,0.0,1,1.8951161788544015,1
Andre Russell,West Indies,0.14516129032258066,1.0,1.0,0.016129032258064516,0,1.7933354114031586,5.097985921430424,0.0,0.0,1,1.8702479286419944,1
D'Arcy Short,Australia,0.11864406779661017,0.0,0.0,0.0,0,1.5837831417466806,10.000000000000002,0.0,0.0,3,1.8624619983480224,1
Usman Shinwari,Pakistan,0.14814814814814814,0.0,0.0,0.0,0,1.0,9.871368852058248,0.0,0.0,1,1.8580951203560847,1
Nathan Coulter-Nile,Australia,0.11538461538461539,1.0,1.0,0.038461538461538464,0,1.5837831417466806,4.661960684137039,0.0,0.0,1,1.8488916809684321,1
Imad Wasim,Pakistan,0.20967741935483872,1.0,0.5,0.016129032258064516,1,1.0,5.04195208743842,0.0,0.0,2,1.808711669222996,1
Aiden Markram,South Africa,0.13157894736842105,0.0,0.0,0.0,1,4.661960684137039,5.727575996902464,0.0,0.0,2,1.790636950442127,1
Mohammad Amir,Pakistan,0.18660287081339713,2.0,0.3333333333333333,0.009569377990430622,0,1.0,6.65175767564503,0.0,0.0,6,1.788344974372954,1
Umar Amin,Pakistan,0.3333333333333333,0.0,0.0,0.0,0,1.0,5.04195208743842,0.0,0.0,1,1.7597094277987775,1
Glenn Maxwell,Australia,0.14705882352941177,0.0,0.0,0.0,1,1.5837831417466806,7.864784273654817,0.0,0.0,5,1.6758583704638679,1
Shehan Jayasuriya,Sri Lanka,0.1794871794871795,0.0,0.0,0.0,0,4.556830402876305,4.661960684137039,0.0,0.0,2,1.6757860684112305,1
Abul Hasan,Bangladesh,0.16,0.0,0.0,0.0,0,5.097985921430424,4.556830402876305,0.0,0.0,1,1.6718245757698378,1
Aamer Yamin,Pakistan,0.13846153846153847,1.0,1.0,0.015384615384615385,0,1.0,5.04195208743842,0.0,0.0,1,1.6625424569608247,1
Prabath Jayasuriya,Sri Lanka,0.16842105263157894,0.0,0.0,0.0,0,4.556830402876305,4.661960684137039,0.0,0.0,2,1.6244303597314855,1
Wanindu Hasaranga,Sri Lanka,0.13725490196078433,0.0,0.0,0.0,0,4.556830402876305,5.097985921430424,0.0,0.0,1,1.5662690689483134,1
Shoaib Malik,Pakistan,0.18333333333333335,0.0,0.0,0.0,0,1.0,7.470668928246335,0.0,0.0,4,1.5452640628492094,1
Chris Gayle,West Indies,0.225,0.0,0.0,0.0,1,1.7933354114031586,5.097985921430424,0.0,0.0,2,1.530402422374072,1
Mohammad Nawaz,Pakistan,0.21367521367521367,0.0,0.0,0.0,0,1.0,6.670435620309031,0.0,0.0,3,1.5273685518660551,1
Dilruwan Perera,Sri Lanka,0.12,0.0,0.0,0.0,0,4.556830402876305,5.097985921430424,0.0,0.0,1,1.4861924775664672,1
Jason Mohammed,West Indies,0.13333333333333333,0.0,0.0,0.0,0,1.7933354114031586,5.097985921430424,0.0,0.0,1,1.0,1
