bowler,country,negative_rate,no_of_wickets,wickets_per_match,wickets_per_run,no_of_wins,team_score,opponent_mean,winning_contribution,winning_wicket_rate_contribution,bowler_score
A Mishra,India,-0.7933579335793358,15,3.0,0.06976744186046512,3,0.8185997175913107,0.5931142265399452,0.11627906976744186,0.35353535353535354,0.8530094627385285
KJ Abbott,South Africa,-0.7869565217391304,15,1.875,0.04143646408839779,5,0.9806597835166322,0.8120993185772982,0.07228915662650602,0.2563106796116505,0.8335421636607898
MR Marsh,Australia,-0.9446902654867256,21,1.0,0.02459016393442623,11,1.0,0.694106262276294,0.044,0.1118421052631579,0.8180395381707144
MJ Henry,New Zealand,-1.0,20,2.0,0.03508771929824561,6,0.5931142265399452,0.7989786878212526,0.08917197452229299,0.23595505617977527,0.7812548252545279
RJW Topley,England,-0.946524064171123,9,2.25,0.05084745762711865,1,0.7822209483970475,0.9806597835166322,0.03669724770642202,0.47058823529411764,0.7682605594712839
CB Sole,Scotland,-0.6557377049180327,7,3.5,0.0875,2,0.7168176531496389,0.22268594377112977,0.15555555555555556,0.35,0.7578438508163994
MJ Guptill,New Zealand,-0.6,2,2.0,0.3333333333333333,1,0.5931142265399452,0.8185997175913107,0.012738853503184714,0.20224719101123595,0.7446371738400996
LM Jongwe,Zimbabwe,-0.6583333333333333,10,3.3333333333333335,0.12658227848101267,2,0.20038635701779292,0.41851697138602156,0.175,0.35,0.7415426933062159
SP Narine,West Indies,-0.7145522388059702,14,1.5555555555555556,0.03655352480417755,3,0.3679107550301953,0.8922418653953782,0.13043478260869565,0.32432432432432434,0.7347150124774284
SM Boland,Australia,-1.0054719562243501,16,1.2307692307692308,0.021768707482993196,8,1.0,0.6670470361984144,0.04,0.13980263157894737,0.7326357187228367
PJ Cummins,Australia,-0.8851351351351351,8,2.6666666666666665,0.061068702290076333,3,1.0,0.5931142265399452,0.032,0.2982456140350877,0.730380575936938
MJ Santner,New Zealand,-0.7312101910828025,17,1.1333333333333333,0.029616724738675958,8,0.5931142265399452,0.7440979624989065,0.07006369426751592,0.13904494382022473,0.7260623978339511
T Shamsi,South Africa,-0.6807228915662651,6,2.0,0.05309734513274336,3,0.9806597835166322,0.7893035850100651,0.03614457831325301,0.21359223300970875,0.7163252941980978
Rashid Khan,Afghanistan,-0.6947565543071161,20,2.2222222222222223,0.05390835579514825,4,0.4185169713860216,0.18610935342212057,0.1643835616438356,0.3,0.7162269647446626
Nadeem Ahmed,Hong Kong,-0.7062146892655368,8,2.6666666666666665,0.064,1,0.3484584967684489,0.47480792254343984,0.2,0.4,0.7111957850429862
AL Phehlukwayo,South Africa,-0.9962406015037594,8,1.3333333333333333,0.03018867924528302,6,0.9806597835166322,0.8333333333333334,0.060240963855421686,0.17799352750809064,0.7111478782619058
AM Phangiso,South Africa,-0.7889908256880734,10,2.0,0.05813953488372093,3,0.9806597835166322,0.6735821510060391,0.03614457831325301,0.21359223300970875,0.7095154924895348
WD Parnell,South Africa,-0.9803921568627451,11,1.5714285714285714,0.03666666666666667,5,0.9806597835166322,0.6765459300086273,0.05421686746987952,0.19223300970873788,0.6996055346896675
UT Yadav,India,-1.0666666666666667,15,1.5,0.02533783783783784,4,0.8185997175913107,0.7965571132699725,0.08139534883720931,0.1856060606060606,0.6966207906438986
TG Southee,New Zealand,-0.8657718120805369,15,1.5,0.029069767441860465,5,0.5931142265399452,0.7166823697702258,0.07643312101910828,0.24269662921348312,0.6941515125164848
Taskin Ahmed,Bangladesh,-0.9765807962529274,14,1.5555555555555556,0.03357314148681055,3,0.3579417032485687,0.5979507154410048,0.17857142857142858,0.33333333333333337,0.6723812313714104
AC Evans,Scotland,-0.9019607843137255,8,2.6666666666666665,0.057971014492753624,3,0.7168176531496389,0.18076175943869002,0.17777777777777778,0.26666666666666666,0.6708616222193364
I Sharma,India,-1.0119047619047619,9,2.25,0.03529411764705882,1,0.8185997175913107,1.0,0.023255813953488372,0.21212121212121213,0.661375706006238
MA Aponso,Sri Lanka,-0.6981132075471698,7,1.4,0.03783783783783784,1,0.4505470207770822,1.0,0.05,0.4081632653061224,0.6588780862226373
Mashrafe Mortaza,Bangladesh,-0.7589641434262948,16,1.7777777777777777,0.04199475065616798,3,0.3579417032485687,0.5979507154410048,0.125,0.23333333333333334,0.6568787503642002
KM Jadhav,India,-0.6636363636363637,6,1.5,0.0821917808219178,2,0.8185997175913107,0.5931142265399452,0.05813953488372093,0.26515151515151514,0.6537882053870703
Imad Wasim,Pakistan,-0.7815126050420168,11,1.5714285714285714,0.03942652329749104,4,0.5440987190042532,0.5250855116844969,0.13559322033898305,0.2222222222222222,0.6525804599568477
Anshuman Rath,Hong Kong,-0.4460431654676259,6,2.0,0.0967741935483871,1,0.3484584967684489,0.47480792254343984,0.15,0.3,0.6491209632846275
LE Plunkett,England,-0.9308176100628931,9,1.5,0.030405405405405407,6,0.7822209483970475,0.4818886503025821,0.09174311926605505,0.19607843137254902,0.6468037426449682
DW Steyn,South Africa,-1.1719457013574661,5,1.25,0.019305019305019305,4,0.9806597835166322,1.0,0.03614457831325301,0.16019417475728157,0.6336756349430253
CR Woakes,England,-0.9063829787234042,11,1.1,0.025821596244131457,6,0.7822209483970475,0.5568534875345896,0.07339449541284404,0.1568627450980392,0.631403613372854
CR Brathwaite,West Indies,-0.9535353535353536,11,1.1,0.023305084745762712,4,0.3679107550301953,0.8387172111108315,0.13043478260869565,0.24324324324324326,0.6312234880612315
CD de Lange,Scotland,-0.65,6,2.0,0.05128205128205128,3,0.7168176531496389,0.18076175943869002,0.15555555555555556,0.23333333333333334,0.625775812594122
JO Holder,West Indies,-0.8549905838041432,15,1.3636363636363635,0.03303964757709251,4,0.3679107550301953,0.8119337118284151,0.08695652173913043,0.16216216216216217,0.6256026463111568
